U36759_s_at,U58087_at,U57450_at,D85815_at,X04470_s_at,U12139_at,D29833_at,X54457_s_at,M58569_s_at,U15173_at,D49824_at,HG3437-HT3628_s_at,X78416_s_at,X64559_at,U45448_s_at,U07559_at,X62573_at,X54131_at,U06233_at,U81787_at,M96326_rna1_at,Y07565_s_at,U43279_at,Y11416_at,L13720_at,X66436_at,U02566_s_at,D87470_at,U38372_at,HG537-HT537_at,D87460_at,D38037_at,M55040_at,X74837_at,U68031_at,J02874_at,X59766_at,D87462_at,U52827_at,L10338_s_at,X07730_at,U00951_at,M36542_s_at,U29656_at,X57809_at,U23430_s_at,U00957_at,U18237_at,L22454_at,U82759_at,U57341_r_at,L22214_at,X74328_rna1_at,L06133_at,J05036_s_at,S61953_at,X92762_at,D55643_s_at,U49248_at,S78873_s_at,AB004884_at,M81181_s_at,HG4333-HT4603_at,X59244_f_at,L07807_s_at,X76498_at,S72043_rna1_at,X80026_at,Z34974_s_at,M11437_cds2_at,U25433_at,L34673_at,HG3897-HT4167_at,U58837_s_at,X63657_at,J04040_at,X05232_at,X97303_at,L35240_at,M35531_at,L11369_at,D50913_at,U50743_at,D87673_at,M30838_at,M16801_at,X70070_at,L42601_f_at,M95585_s_at,X78924_at,M34344_at,U62966_at,X17094_at,M63904_at,U10991_at,M62400_at,AF000545_at,D14822_at,U01877_at,AD000092_cds1_at,class
-0.0062,-0.2982,0.4934,-0.0573,0.1067,-0.5285,0.5912,0.4781,0.3168,0.1965,0.6015,-0.1187,0.2111,0.235,-0.2896,0.4507,-0.248,-0.2359,0.7473,-0.3984,-0.6391,1.2857,0.065,-0.2851,0.3132,-0.0111,0.3673,-0.3363,0.6231,-0.5002,-0.5747,0.163,-0.5368,-0.3495,0.1421,-0.3758,0.4162,-0.7145,-0.907,-0.6151,-0.3367,0.1103,-0.438,-0.0593,-0.0593,-0.1059,0.3062,-0.1059,-0.4835,-0.5216,-0.4636,0.1421,-0.3758,-0.907,-0.5747,-0.7145,-0.5002,-0.438,-0.5368,-0.3367,-0.0593,0.4162,0.4952,0.0828,-0.1059,-0.4835,1.2857,0.3132,-0.3363,-0.3495,-0.0111,-0.248,-0.2359,0.065,-0.6391,-0.6151,-0.3984,0.3673,0.163,-0.2851,-0.1059,0.4507,0.235,-0.2896,0.4781,0.6015,0.6231,0.7473,0.3168,-0.1187,0.5912,-0.2982,-0.5285,0.1965,0.2111,0.4934,-0.0573,0.1067,0.1103,-0.0062,DLBCL
0.0312,-0.3096,-0.0838,-0.0894,0.3402,0.2855,0.4519,0.3959,0.1025,0.0711,0.6194,-0.0403,-0.2016,0.9625,0.5733,0.3369,0.002,-0.1554,-0.4584,0.9776,0.2281,-1.3367,-0.2475,0.6321,0.8458,0.5218,0.3647,0.4075,-0.3534,-0.6239,0.2131,-0.4035,-0.3171,-0.577,-1.4083,-0.1193,-0.1804,0.6554,0.6026,0.9145,-0.0212,-0.3045,-0.2051,0.2179,0.2179,-0.0484,0.2681,-0.0484,0.6117,1.0891,0.0299,-1.4083,-0.1193,0.6026,0.2131,0.6554,-0.6239,-0.2051,-0.3171,-0.0212,0.2179,-0.1804,-0.6673,0.0238,-0.0484,0.6117,-1.3367,0.8458,0.4075,-0.577,0.5218,0.002,-0.1554,-0.2475,0.2281,0.9145,0.9776,0.3647,-0.4035,0.6321,-0.0484,0.3369,0.9625,0.5733,0.3959,0.6194,-0.3534,-0.4584,0.1025,-0.0403,0.4519,-0.3096,0.2855,0.0711,-0.2016,-0.0838,-0.0894,0.3402,-0.3045,0.0312,DLBCL
-0.0109,-0.1132,-0.3282,0.3576,-1.0372,-0.7853,-0.1145,-0.7036,-0.1988,-0.1305,-1.0135,0.2751,0.4764,0.3114,-0.2463,0.2177,0.2236,0.5933,-0.2279,-0.4265,0.2841,0.125,-0.0623,-0.9327,-0.0855,-0.6287,0.1382,0.4479,0.6329,0.2177,-0.1502,0.7556,0.9682,0.6395,0.2455,-0.3025,0.2794,-0.2232,0.4449,0.0705,-0.3101,0.184,0.7495,0.2134,0.2134,-1.0078,1.2309,-1.0078,0.0261,0.023,0.6033,0.2455,-0.3025,0.4449,-0.1502,-0.2232,0.2177,0.7495,0.9682,-0.3101,0.2134,0.2794,0.6829,0.1081,-1.0078,0.0261,0.125,-0.0855,0.4479,0.6395,-0.6287,0.2236,0.5933,-0.0623,0.2841,0.0705,-0.4265,0.1382,0.7556,-0.9327,-1.0078,0.2177,0.3114,-0.2463,-0.7036,-1.0135,0.6329,-0.2279,-0.1988,0.2751,-0.1145,-0.1132,-0.7853,-0.1305,0.4764,-0.3282,0.3576,-1.0372,0.184,-0.0109,DLBCL
-0.1493,-0.2848,-0.354,-0.2071,-0.4041,0.0908,-0.0217,-0.0049,0.1083,-0.6763,0.0717,-0.1542,0.4027,-0.0997,-0.173,0.3911,-0.587,0.6175,-0.5294,0.416,-0.1214,0.0304,0.0303,0.5363,0.0837,-0.4316,-0.596,0.878,0.4766,1.0902,-0.1243,0.3614,0.9517,-0.1919,0.7106,0.0455,0.325,0.5263,0.3277,-0.4922,-0.1279,0.2713,-0.4888,0.2743,0.2743,-0.6718,0.8012,-0.6718,-0.2493,0.0861,-0.3173,0.7106,0.0455,0.3277,-0.1243,0.5263,1.0902,-0.4888,0.9517,-0.1279,0.2743,0.325,0.0802,-0.3262,-0.6718,-0.2493,0.0304,0.0837,0.878,-0.1919,-0.4316,-0.587,0.6175,0.0303,-0.1214,-0.4922,0.416,-0.596,0.3614,0.5363,-0.6718,0.3911,-0.0997,-0.173,-0.0049,0.0717,0.4766,-0.5294,0.1083,-0.1542,-0.0217,-0.2848,0.0908,-0.6763,0.4027,-0.354,-0.2071,-0.4041,0.2713,-0.1493,DLBCL
0.1078,0.0698,0.1588,-0.314,-0.8836,-0.0423,0.4334,0.1081,0.34,0.1228,0.4505,-0.2157,-0.4006,0.0276,0.7598,0.0714,-0.1871,0.223,-0.7953,1.1742,-0.0261,0.2024,-0.1549,-0.2045,0.3927,-0.474,0.5339,-0.225,0.3985,0.2332,-0.0446,0.4032,-0.4654,0.0706,0.59,-0.2619,0.4352,0.0372,0.1925,-0.0427,-0.1279,0.1567,-0.4948,-0.6319,-0.6319,0.1297,0.0886,0.1297,-0.0942,0.3684,-0.4274,0.59,-0.2619,0.1925,-0.0446,0.0372,0.2332,-0.4948,-0.4654,-0.1279,-0.6319,0.4352,0.1099,0.3315,0.1297,-0.0942,0.2024,0.3927,-0.225,0.0706,-0.474,-0.1871,0.223,-0.1549,-0.0261,-0.0427,1.1742,0.5339,0.4032,-0.2045,0.1297,0.0714,0.0276,0.7598,0.1081,0.4505,0.3985,-0.7953,0.34,-0.2157,0.4334,0.0698,-0.0423,0.1228,-0.4006,0.1588,-0.314,-0.8836,0.1567,0.1078,DLBCL
-0.0072,-0.2305,-0.1095,-0.6028,-0.1503,0.1004,-0.3188,0.7144,0.2357,0.6416,0.7781,0.1239,-0.607,0.0749,0.4133,-0.1291,-0.3762,-0.6707,-0.0683,0.0284,0.2393,-0.5628,0.4353,0.6119,0.1793,-0.7923,0.2814,0.2203,0.4766,0.6478,-0.3801,0.1839,-0.4874,-0.1657,-0.3919,-0.3051,0.1426,0.2501,0.0438,0.3906,0.3275,-0.4328,0.0298,0.1052,0.1052,-0.2035,0.1049,-0.2035,-0.2303,-0.0035,-0.2847,-0.3919,-0.3051,0.0438,-0.3801,0.2501,0.6478,0.0298,-0.4874,0.3275,0.1052,0.1426,0.2284,-0.1533,-0.2035,-0.2303,-0.5628,0.1793,0.2203,-0.1657,-0.7923,-0.3762,-0.6707,0.4353,0.2393,0.3906,0.0284,0.2814,0.1839,0.6119,-0.2035,-0.1291,0.0749,0.4133,0.7144,0.7781,0.4766,-0.0683,0.2357,0.1239,-0.3188,-0.2305,0.1004,0.6416,-0.607,-0.1095,-0.6028,-0.1503,-0.4328,-0.0072,DLBCL
-0.0614,-0.3811,-0.558,-0.1771,0.3402,-0.0518,0.0526,0.3753,0.4269,-0.8017,0.7679,-0.0758,-0.6144,1.0353,0.3401,-0.4163,-0.763,0.545,-1.3273,-0.6849,-0.2915,-0.4253,-0.2243,0.7808,0.7884,0.2779,0.0991,0.0836,-0.5975,0.8489,-0.5451,0.0586,0.1717,-0.0344,-1.2188,2.9215,-0.15,1.706,0.1069,-0.586,-0.4256,0.304,2.0396,0.0579,0.0579,-0.3759,-0.2976,-0.3759,0.3964,0.2887,-1.0733,-1.2188,2.9215,0.1069,-0.5451,1.706,0.8489,2.0396,0.1717,-0.4256,0.0579,-0.15,-0.6575,-1.0724,-0.3759,0.3964,-0.4253,0.7884,0.0836,-0.0344,0.2779,-0.763,0.545,-0.2243,-0.2915,-0.586,-0.6849,0.0991,0.0586,0.7808,-0.3759,-0.4163,1.0353,0.3401,0.3753,0.7679,-0.5975,-1.3273,0.4269,-0.0758,0.0526,-0.3811,-0.0518,-0.8017,-0.6144,-0.558,-0.1771,0.3402,0.304,-0.0614,DLBCL
-0.0717,-0.2963,-0.0985,-0.2541,-0.6313,-0.2071,-0.6438,0.4909,0.7166,-0.4968,-0.348,-0.1598,1.3461,0.4569,-0.1464,0.3803,-0.5022,0.9234,-0.2634,-0.0109,0.1701,-0.0384,-0.2475,0.234,-0.0575,-0.6185,-0.9605,0.3012,-0.0702,1.1923,-0.6192,0.5259,0.2761,-0.2795,-0.4092,-0.2933,0.591,0.3135,0.0348,0.0931,0.4009,-0.5501,-0.0817,0.263,0.263,-0.2323,-0.0855,-0.2323,-0.6259,-0.3456,-0.3239,-0.4092,-0.2933,0.0348,-0.6192,0.3135,1.1923,-0.0817,0.2761,0.4009,0.263,0.591,0.2976,0.3863,-0.2323,-0.6259,-0.0384,-0.0575,0.3012,-0.2795,-0.6185,-0.5022,0.9234,-0.2475,0.1701,0.0931,-0.0109,-0.9605,0.5259,0.234,-0.2323,0.3803,0.4569,-0.1464,0.4909,-0.348,-0.0702,-0.2634,0.7166,-0.1598,-0.6438,-0.2963,-0.2071,-0.4968,1.3461,-0.0985,-0.2541,-0.6313,-0.5501,-0.0717,DLBCL
-0.3541,-0.5346,-0.0489,-0.391,-0.1722,0.0135,-0.0124,0.0773,0.6587,0.0982,0.1229,-0.3165,0.2037,-0.6344,-0.6661,-0.335,-0.2697,-0.6063,-0.7067,-0.2468,0.2038,-0.795,0.1575,-0.3028,-0.8049,-0.7441,0.2788,-0.2098,-0.7733,-0.3176,-0.4338,-0.0093,-0.6467,-0.3407,0.8484,-0.3077,-0.0892,0.2976,-0.0914,-0.3402,-0.3234,-1.1123,-0.3027,-0.0255,-0.0255,-0.3902,-0.7111,-0.3902,-0.2144,-0.8936,-0.2159,0.8484,-0.3077,-0.0914,-0.4338,0.2976,-0.3176,-0.3027,-0.6467,-0.3234,-0.0255,-0.0892,-1.0658,-0.7014,-0.3902,-0.2144,-0.795,-0.8049,-0.2098,-0.3407,-0.7441,-0.2697,-0.6063,0.1575,0.2038,-0.3402,-0.2468,0.2788,-0.0093,-0.3028,-0.3902,-0.335,-0.6344,-0.6661,0.0773,0.1229,-0.7733,-0.7067,0.6587,-0.3165,-0.0124,-0.5346,0.0135,0.0982,0.2037,-0.0489,-0.391,-0.1722,-1.1123,-0.3541,DLBCL
0.2668,-0.1666,-0.2051,-0.3269,0.2885,0.7584,0.1641,0.6579,0.369,0.4621,0.5222,0.0231,-0.2827,0.6497,0.0769,0.1256,0.0498,0.1103,0.2154,0.9552,-0.0616,-0.1845,0.5973,0.5212,1.087,0.5933,0.4584,0.5036,0.2227,-0.3362,0.404,0.304,0.5947,-0.2357,0.3661,-0.067,0.078,0.918,0.2015,0.8757,-0.1301,-0.2827,-0.1195,0.3554,0.3554,0.5204,0.0015,0.5204,0.925,0.4548,-0.3688,0.3661,-0.067,0.2015,0.404,0.918,-0.3362,-0.1195,0.5947,-0.1301,0.3554,0.078,-1.0428,-0.4484,0.5204,0.925,-0.1845,1.087,0.5036,-0.2357,0.5933,0.0498,0.1103,0.5973,-0.0616,0.8757,0.9552,0.4584,0.304,0.5212,0.5204,0.1256,0.6497,0.0769,0.6579,0.5222,0.2227,0.2154,0.369,0.0231,0.1641,-0.1666,0.7584,0.4621,-0.2827,-0.2051,-0.3269,0.2885,-0.2827,0.2668,DLBCL
0.0854,-0.117,0.9988,-0.2071,0.5486,0.2721,-0.8574,-0.7165,0.4443,-0.4919,-0.2917,0.6595,-0.0763,-0.4198,1.5228,-0.2212,0.3953,-0.1635,-0.1215,0.7698,0.6579,-0.666,-1.4162,-0.2977,-0.4621,0.2721,0.8671,0.3265,0.9063,1.3347,0.3892,-0.9152,0.0619,-1.7761,-0.3575,-0.5079,0.4998,0.5331,1.0082,0.5911,0.3942,0.6997,0.0437,0.3194,0.3194,1.0058,-1.0864,1.0058,-0.9678,0.9098,0.0482,-0.3575,-0.5079,1.0082,0.3892,0.5331,1.3347,0.0437,0.0619,0.3942,0.3194,0.4998,-0.6048,1.1747,1.0058,-0.9678,-0.666,-0.4621,0.3265,-1.7761,0.2721,0.3953,-0.1635,-1.4162,0.6579,0.5911,0.7698,0.8671,-0.9152,-0.2977,1.0058,-0.2212,-0.4198,1.5228,-0.7165,-0.2917,0.9063,-0.1215,0.4443,0.6595,-0.8574,-0.117,0.2721,-0.4919,-0.0763,0.9988,-0.2071,0.5486,0.6997,0.0854,DLBCL
0.033,-0.1895,0.1882,-0.1194,0.2728,0.134,0.0433,0.4678,0.6355,-0.16,0.4121,-0.1467,-0.6365,0.6206,0.0602,-0.2429,-0.2871,-0.3326,-0.3875,-1.1398,0.2187,-0.4167,-1.0806,0.6094,0.1882,-0.4477,-0.0623,0.2405,0.6524,0.1434,-0.3652,-0.0302,-0.7236,-0.1569,0.9346,-0.33,0.0666,0.472,0.5936,0.4941,-0.0435,0.3259,-0.012,0.4186,0.4186,-0.508,0.0342,-0.508,-0.148,0.5378,-0.4111,0.9346,-0.33,0.5936,-0.3652,0.472,0.1434,-0.012,-0.7236,-0.0435,0.4186,0.0666,-0.7069,-0.7604,-0.508,-0.148,-0.4167,0.1882,0.2405,-0.1569,-0.4477,-0.2871,-0.3326,-1.0806,0.2187,0.4941,-1.1398,-0.0623,-0.0302,0.6094,-0.508,-0.2429,0.6206,0.0602,0.4678,0.4121,0.6524,-0.3875,0.6355,-0.1467,0.0433,-0.1895,0.134,-0.16,-0.6365,0.1882,-0.1194,0.2728,0.3259,0.033,DLBCL
-0.2456,0.495,-0.4606,-0.3033,-0.1362,-0.0512,-0.4024,0.0979,-0.4248,1.4677,0.6527,-0.0329,-1.204,-0.5762,-0.3962,-0.7522,0.0672,-0.3165,-1.416,-0.3704,0.0225,-0.7778,0.1691,0.0223,0.2058,-0.6112,0.4089,0.114,-0.3339,-0.0608,-0.3819,0.116,0.2157,-0.9971,-1.1327,-0.0133,-0.8454,0.6282,0.3953,-0.4631,-0.7833,0.3231,1.2014,0.5493,0.5493,0.259,0.5292,0.259,0.5041,-0.7707,-0.2653,-1.1327,-0.0133,0.3953,-0.3819,0.6282,-0.0608,1.2014,0.2157,-0.7833,0.5493,-0.8454,-0.068,-0.0816,0.259,0.5041,-0.7778,0.2058,0.114,-0.9971,-0.6112,0.0672,-0.3165,0.1691,0.0225,-0.4631,-0.3704,0.4089,0.116,0.0223,0.259,-0.7522,-0.5762,-0.3962,0.0979,0.6527,-0.3339,-1.416,-0.4248,-0.0329,-0.4024,0.495,-0.0512,1.4677,-1.204,-0.4606,-0.3033,-0.1362,0.3231,-0.2456,DLBCL
-0.2671,0.2386,1.5318,0.3726,0.6693,-0.1127,-0.291,0.1698,-0.6739,-0.2805,-0.5656,0.0492,0.4912,-0.5035,-0.8627,0.1906,0.2258,0.5611,1.829,0.9215,-0.4597,1.7328,1.2221,-0.4388,-0.1399,0.4225,-0.4841,-0.5539,0.6329,-0.0329,-0.317,0.5703,-0.8334,0.9021,0.4867,-0.2606,-0.397,-0.2141,-0.5014,0.7884,1.0207,-0.2854,-0.6799,-0.0841,-0.0841,0.6611,-0.0202,0.6611,0.2793,-0.515,0.4239,0.4867,-0.2606,-0.5014,-0.317,-0.2141,-0.0329,-0.6799,-0.8334,1.0207,-0.0841,-0.397,0.8081,0.0491,0.6611,0.2793,1.7328,-0.1399,-0.5539,0.9021,0.4225,0.2258,0.5611,1.2221,-0.4597,0.7884,0.9215,-0.4841,0.5703,-0.4388,0.6611,0.1906,-0.5035,-0.8627,0.1698,-0.5656,0.6329,1.829,-0.6739,0.0492,-0.291,0.2386,-0.1127,-0.2805,0.4912,1.5318,0.3726,0.6693,-0.2854,-0.2671,DLBCL
0.4006,-0.4774,-0.9991,-0.2648,0.2869,-0.507,0.0712,0.1441,-0.2857,-0.991,-0.2226,0.2993,0.1595,0.4933,-0.1464,0.3911,-0.0871,-0.3245,1.102,-0.8253,-1.6745,0.082,-1.1501,-0.0835,0.4059,0.6984,-1.299,-1.7227,1.3457,-0.1722,0.4207,0.5885,-0.1963,-0.4107,0.3316,-0.2515,0.3858,-1.4753,-1.0512,0.064,-0.4522,1.0709,-0.3933,-0.5259,-0.5259,0.2216,0.4258,0.2216,0.8712,-1.4283,0.116,0.3316,-0.2515,-1.0512,0.4207,-1.4753,-0.1722,-0.3933,-0.1963,-0.4522,-0.5259,0.3858,0.3734,-0.2629,0.2216,0.8712,0.082,0.4059,-1.7227,-0.4107,0.6984,-0.0871,-0.3245,-1.1501,-1.6745,0.064,-0.8253,-1.299,0.5885,-0.0835,0.2216,0.3911,0.4933,-0.1464,0.1441,-0.2226,1.3457,1.102,-0.2857,0.2993,0.0712,-0.4774,-0.507,-0.991,0.1595,-0.9991,-0.2648,0.2869,1.0709,0.4006,DLBCL
0.4903,0.3997,-0.0966,0.0753,-0.2286,0.0775,0.5448,0.419,-0.3437,-0.0715,0.0282,0.2359,-0.3195,-0.0742,-0.5995,0.0281,-0.274,0.2954,0.0558,-0.2356,0.1215,-0.1071,-0.6062,0.1861,-0.7857,-0.0798,0.172,-0.2857,0.3497,-0.2712,0.2353,-0.2521,0.018,-0.1569,0.0388,-0.2685,-0.1082,-0.1575,0.1204,-0.7347,-0.0568,-1.3798,0.0776,0.414,0.414,0.0493,0.4693,0.0493,0.3869,-0.2958,0.0095,0.0388,-0.2685,0.1204,0.2353,-0.1575,-0.2712,0.0776,0.018,-0.0568,0.414,-0.1082,0.7422,0.9344,0.0493,0.3869,-0.1071,-0.7857,-0.2857,-0.1569,-0.0798,-0.274,0.2954,-0.6062,0.1215,-0.7347,-0.2356,0.172,-0.2521,0.1861,0.0493,0.0281,-0.0742,-0.5995,0.419,0.0282,0.3497,0.0558,-0.3437,0.2359,0.5448,0.3997,0.0775,-0.0715,-0.3195,-0.0966,0.0753,-0.2286,-1.3798,0.4903,DLBCL
-0.4046,0.1032,-0.2841,0.1737,0.0174,0.0503,0.9905,0.0696,-0.251,-0.6739,0.5043,-0.2456,-0.5849,0.2968,-0.1131,-0.8714,-0.0784,0.6416,-0.9727,0.0116,-0.2522,0.3657,-0.7103,0.1533,-0.0781,-0.7076,-0.5179,0.0533,0.5743,0.1218,-0.0853,0.4502,0.1772,-0.3495,0.0215,-0.4922,-0.3362,-0.9794,0.4314,-0.5989,0.3542,0.4405,0.7326,0.1097,0.1097,-0.0398,-0.5914,-0.0398,-0.5784,0.5445,0.2113,0.0215,-0.4922,0.4314,-0.0853,-0.9794,0.1218,0.7326,0.1772,0.3542,0.1097,-0.3362,-0.0844,0.0954,-0.0398,-0.5784,0.3657,-0.0781,0.0533,-0.3495,-0.7076,-0.0784,0.6416,-0.7103,-0.2522,-0.5989,0.0116,-0.5179,0.4502,0.1533,-0.0398,-0.8714,0.2968,-0.1131,0.0696,0.5043,0.5743,-0.9727,-0.251,-0.2456,0.9905,0.1032,0.0503,-0.6739,-0.5849,-0.2841,0.1737,0.0174,0.4405,-0.4046,DLBCL
-0.0315,0.6399,-0.6131,-0.0488,-0.2333,-0.5177,0.2662,-0.046,-0.4422,-0.0813,-0.3864,0.1015,-0.4006,-0.6781,-0.2896,-0.1724,-0.3631,-0.5258,-0.2457,-0.6119,-0.3363,-0.5199,-0.421,-0.2221,-0.4886,-0.8492,-0.4841,-0.1845,-1.0565,-0.528,-0.4338,-0.5001,0.1553,1.0509,0.6762,-0.1978,0.0552,0.0078,-0.3482,-0.9288,-0.6322,-0.1626,-0.1165,-0.012,-0.012,-0.0743,0.2572,-0.0743,-0.2936,-0.4619,0.0232,0.6762,-0.1978,-0.3482,-0.4338,0.0078,-0.528,-0.1165,0.1553,-0.6322,-0.012,0.0552,0.4359,0.5128,-0.0743,-0.2936,-0.5199,-0.4886,-0.1845,1.0509,-0.8492,-0.3631,-0.5258,-0.421,-0.3363,-0.9288,-0.6119,-0.4841,-0.5001,-0.2221,-0.0743,-0.1724,-0.6781,-0.2896,-0.046,-0.3864,-1.0565,-0.2457,-0.4422,0.1015,0.2662,0.6399,-0.5177,-0.0813,-0.4006,-0.6131,-0.0488,-0.2333,-0.1626,-0.0315,DLBCL
